casename,A_true,n_true,a_true,alpha,beta,A_est,n_est,a_est,alpha_est,beta_est
case151,800.0,1.1,50.0,0.8,0.9,767.8063647853713,1.1050435365425852,46.85039582539736,0.8045301895593833,0.8970139454164262
case152,800.0,1.1,50.0,0.9,-0.9,796.2406842813317,1.102577018984543,49.52178711618459,0.6342295329234171,-0.6286191186368252
case153,800.0,1.1,50.0,0.9,-0.8,793.1944293619533,1.1031167601079035,49.249206763504255,0.8938142627269141,-0.7881161351592796
case154,800.0,1.1,50.0,0.9,-0.7,790.3537572085282,1.1025563766984223,49.075595874196125,0.8973876105277241,-0.6912646377634208
case155,800.0,1.1,50.0,0.9,-0.6,787.7025763194116,1.1016644753949851,48.94570349392128,0.8988692839485682,-0.5925980284708671
case156,800.0,1.1,50.0,0.9,-0.5,784.994458712951,1.1008084750045906,48.807482583567534,0.8995616913200594,-0.49321209214682704
case157,800.0,1.1,50.0,0.9,-0.4,782.2060085119591,1.100093406002798,48.64673825724101,0.9000654628134753,-0.39378423268977675
case158,800.0,1.1,50.0,0.9,-0.3,780.2421216728847,1.099209386555832,48.57141171173347,0.9004120788570023,-0.2942666297420002
case159,800.0,1.1,50.0,0.9,-0.2,776.5882881305779,1.1019833234314875,47.648733946814396,0.8469994189140918,-1.6127843718395382e-27
case160,800.0,1.1,50.0,0.9,-0.1,773.4927793052557,1.1000581983506805,47.93534706432681,0.9008960397839446,-0.09521333033087864
case161,800.0,1.1,50.0,0.9,-0.0,770.709926525564,1.1007494069673853,47.64786309997553,0.901072319214903,0.004303812601930787
case162,800.0,1.1,50.0,0.9,0.1,770.5627711207961,1.1004760839356595,47.71037592439789,0.9012465966273977,0.10370587849891959
case163,800.0,1.1,50.0,0.9,0.2,763.5989635556049,1.1034951165749427,46.82295120041946,0.9014051720190042,0.20296423646631406
case164,800.0,1.1,50.0,0.9,0.3,761.0914100551104,1.1045546920475167,46.54026972044524,0.9015521332507029,0.30205770807642635
case165,800.0,1.1,50.0,0.9,0.4,756.8750946763255,1.1060343681002454,46.08313532824076,0.9016334813501128,0.4009597479969271
case166,800.0,1.1,50.0,0.9,0.5,753.8945673704801,1.106902718022074,45.79221175707559,0.901914560635028,0.49952012396019774
case167,800.0,1.1,50.0,0.9,0.6,750.7907264457759,1.1075302048495992,45.50232094258569,0.9020734939617466,0.5981326019918809
